Company,Symbol,Managers,Offer Date,Offer Price,1st Day Close,Current Price,Return
Regalwood Global Energy,RWGE.U,Citigroup/ J.P. Morgan,12-1-17,$10.00,$10.00,$10.01,0.00%
CURO Group Holdings,CURO,Credit Suisse/ Jefferies/ Stephens,12-7-17,$14.00,$14.20,$14.80,1.43%
Odonate Therapeutics,ODT,Goldman Sachs/ Jefferies,12-7-17,$24.00,$23.00,$23.00,-4.17%
Quanterix,QTRX,J.P. Morgan/Leerink Partners,12-7-17,$15.00,$17.47,$16.25,16.47%
Denali Therapeutics,DNLI,Goldman Sachs/ Morgan Stanley/ J.P. Morgan,12-8-17,$18.00,$21.45,$21.55,19.17%
GigCapital,GIG.U,Cowen/ Chardan,12-8-17,$10.00,$10.00,$10.00,0.00%
Luther Burbank,LBC,"Keefe, Bruyette & Woods (A Stifel Company) Sandler O'Neill + Partners",12-8-17,$10.75,$11.75,$11.75,9.30%
Casa Systems,CASA,Morgan Stanley/ Barclays,12-15-17,$13.00,$14.40,$13.50,10.77%
Newmark Group,NMRK,Goldman Sachs/ BofA Merrill Lynch/ Citigroup/ Cantor Fitzgerald,12-15-17,$14.00,$13.95,$14.05,-0.36%
LexinFintech Holdings Ltd.,LX,Goldman Sachs (Asia)/ BofA Merrill Lynch/ Deutsche Bank Securities/ China Renaissance,12-21-17,$9.00,$10.70,$11.80,18.89%
iClick Interactive Asia Group,ICLK,Roth,12-22-17,$8.00,$9.00,$8.50,12.50%
"BeiGene, Ltd.",BGNE,Goldman Sachs/ Morgan Stanley/ Cowen and Company,2-3-16,$24.00,$28.32,$28.97,18.00%
Editas Medicine,EDIT,Morgan Stanley/ J.P. Morgan,2-3-16,$16.00,$18.20,$18.00,13.75%
AveXis,AVXS,Goldman Sachs/ Jefferies,2-11-16,$20.00,$18.05,$18.02,-9.75%
Proteostasis Therapeutics,PTI,Leerink Partners/ RBC Capital Markets,2-11-16,$8.00,$6.64,$8.00,-17.00%
Silver Run Acquisition,SRAQU,Deutsche Bank Securities/ Citigroup/ Goldman Sachs,2-24-16,$10.00,$10.21,$10.01,2.10%
Jensyn Acquisition,JSYNU,Chardan Capital Markets,3-3-16,$10.00,$9.95,$9.95,-0.50%
Syndax Pharmaceuticals,SNDX,Morgan Stanley/ Citigroup,3-3-16,$12.00,$12.01,$12.11,0.08%
KLR Energy Acquisition,KLREU,EarlyBirdCapital,3-11-16,$10.00,$10.00,$10.00,0.00%
Corvus Pharmaceuticals,CRVS,Credit Suisse/ Cowen and Company,3-22-16,$15.00,$14.25,$15.00,-5.00%
Aeglea BioTherapeutics,AGLE,UBS Investment Bank/ BMO Capital Markets/ Wells Fargo Securities,4-7-16,$10.00,$9.77,$10.40,-2.30%
Bats Global Markets,BATS,Morgan Stanley/ Citigroup,4-15-16,$19.00,$23.00,$22.88,21.05%
MGM Growth Properties LLC,MGP,BofA Merrill Lynch/ J.P. Morgan/ Morgan Stanley/ Evercore ISI/ Barclays/ Citigroup/ Deutsche Bank Securities,4-20-16,$21.00,$22.01,$22.75,4.81%
American Renal Associates Holdings,ARA,BofA Merrill Lynch/ Barclays/ Goldman Sachs/ Wells Fargo Securities/ SunTrust Robinson Humphrey/Leerink Partners,4-21-16,$22.00,$26.50,$26.50,20.45%
SecureWorks,SCWX,BofA Merrill Lynch/ Morgan Stanley/ Goldman Sachs/ J.P. Morgan,4-22-16,$14.00,$14.00,$13.91,0.00%
Red Rock Resorts,RRR,Deutsche Bank Securities/ J.P. Morgan/ BofA Merrill Lynch/ Goldman Sachs,4-27-16,$19.50,$18.70,$18.50,-4.10%
Yintech Investment Holdings Limited,YIN,Jefferies,4-27-16,$13.50,$13.50,$13.80,0.00%
Intellia Therapeutics,NTLA,Credit Suisse/ Jefferies/ Leerink Partners,5-6-16,$18.00,$22.10,$22.00,22.78%
Spring Bank Pharmaceuticals,SBPH,Dawson James Securities,5-6-16,$12.00,$11.10,$11.28,-7.50%
SiteOne Landscape Supply,SITE,Deutsche Bank Securities/ Goldman Sachs/ UBS Investment Bank,5-12-16,$21.00,$26.67,$25.90,27.00%
Acacia Communications,ACIA,Goldman Sachs/ BofA Merrill Lynch/ Deutsche Bank Securities,5-13-16,$23.00,$30.95,$29.00,34.57%
Oncobiologics,ONSIU,Jefferies/ Barclays,5-13-16,$6.00,$4.80,$5.12,-20.00%
PhaseRx,PZRX,Laidlaw & Company (UK) Ltd.,5-18-16,$4.00,$4.17,$4.13,4.25%
Grupo Supervielle S.A.,SUPV,Morgan Stanley/ BofA Merrill Lynch,5-19-16,$11.00,$11.50,$11.50,4.55%
Merus B.V.,MRUS,Citigroup/ Jefferies,5-19-16,$10.00,$10.04,$9.75,0.40%
CF Corporation,CFCOU,Citigroup/ BofA Merrill Lynch/ Credit Suisse​,5-20-16,$10.00,$9.99,$10.04,-0.10%
Midland States Bancorp,MSBI,"Sandler O'Neill + Partners/ Keefe, Bruyette & Woods (A Stifel Company)",5-24-16,$22.00,$21.90,$22.06,-0.45%
Cotiviti Holdings,COTV,Goldman Sachs/ J.P. Morgan,5-26-16,$19.00,$17.11,$19.50,-9.95%
GMS,GMS,Barclays/ Credit Suisse,5-26-16,$21.00,$21.91,$22.50,4.33%
Landcadia Holdings,LCAHU,Jefferies/ Deutsche Bank Securities,5-26-16,$10.00,$10.00,$10.00,0.00%
Reata Pharmaceuticals,RETA,Citigroup/ Cowen and Company/ Piper Jaffray,5-26-16,$11.00,$13.70,$11.06,24.55%
US Foods Holding,USFD,Goldman Sachs/ Morgan Stanley/ J.P. Morgan,5-26-16,$23.00,$24.91,$24.25,8.30%
Clearside Biomedical,CLSD,Cowen and Company/ Stifel,6-2-16,$7.00,$7.25,$8.00,3.57%
Nant Health,NH,Jefferies/ Cowen and Company,6-2-16,$14.00,$18.59,$16.11,32.79%
Sensus Healthcare,SRTSU,Northland Capital Markets/ Neidiger Tucker Bruner,6-3-16,$23.00,$24.91,$23.25,8.30%
Atkore International Group,ATKR,Credit Suisse/ Deutsche Bank Securities/ J.P. Morgan/ UBS Investment Bank,6-10-16,$16.00,$16.00,$15.75,0.00%
China Online Education Group,COE,Morgan Stanley/ Credit Suisse,6-10-16,$19.00,$18.98,$19.50,-0.11%
Selecta Biosciences,SELB,UBS Investment Bank/ Stifel,6-22-16,$14.00,$14.00,$15.00,0.00%
Twilio,TWLO,Goldman Sachs/ J.P. Morgan,6-23-16,$15.00,$28.79,$23.99,91.93%
M III Acquisition,MIIIU,Cantor Fitzgerald & Co.,7-7-16,$10.00,$9.63,$10.00,-3.70%
Monster Digital,MSDI,Axiom Capital Management/ WestPark Capital,7-8-16,$4.50,$3.68,$4.00,-18.22%
LINE Corporation,LN,Morgan Stanley/ Nomura/ Goldman Sachs Japan/ J.P. Morgan,7-14-16,$32.84,$41.58,$42.00,26.61%
AdvancePierre Foods Holdings,APFH,Barclays/ Credit Suisse/ Morgan Stanley,7-15-16,$21.00,$24.00,$23.50,14.29%
Conyers Park Acquisition,CPAAU,Deutsche Bank Securities/ Goldman Sachs,7-15-16,$10.00,$10.21,$10.05,2.10%
Audentes Therapeutics,BOLD,BofA Merrill Lynch/ Cowen and Company/ Piper Jaffray,7-20-16,$15.00,$15.13,$19.00,0.87%
IMPINJ,PI,RBC Capital Markets/ Pacific Crest Securities (a division of KeyBanc Capital Markets)/ Piper Jaffray,7-21-16,$14.00,$17.97,$18.00,28.36%
Patheon N.V.,PTHN,J.P. Morgan/ Morgan Stanley/ Jefferies/ UBS Investment Bank,7-21-16,$21.00,$24.99,$25.00,19.00%
TPI Composites,TPIC,J.P. Morgan/ Morgan Stanley,7-22-16,$11.00,$13.56,$13.56,23.27%
Kadmon Holdings,KDMN,Citigroup/ Jefferies,7-27-16,$12.00,$9.70,$11.55,-19.17%
Kinsale Capital Group,KNSL,J.P. Morgan/ William Blair/ RBC Capital Markets,7-28-16,$16.00,$18.35,$18.00,14.69%
Tactile Systems Technology,TCMD,Piper Jaffray/ William Blair/ Canaccord Genuity,7-28-16,$10.00,$11.00,$10.35,10.00%
Talend SA,TLND,Goldman Sachs/ J.P. Morgan/ Barclays/ Citigroup,7-29-16,$18.00,$25.50,$27.66,41.67%
At Home Group,HOME,BofA Merrill Lynch/ Goldman Sachs/ Jefferies/ Morgan Stanley,8-4-16,$15.00,$16.31,$16.25,8.73%
First Hawaiian,FHB,Goldman Sachs/ BofA Merrill Lynch/ BNP PARIBAS/ Barclays/ Credit Suisse/ Deutsche Bank Securities/ J.P. Morgan/ Citigroup/ Morgan Stanley/ UBS Investment Bank,8-4-16,$23.00,$24.25,$24.20,5.43%
Atomera,ATMR,National Securities Corporation,8-5-16,$7.50,$8.08,$8.13,7.73%
Gemphire Therapeutics,GEMP,Jefferies/ Cowen and Company,8-5-16,$10.00,$9.20,$9.25,-8.00%
Medpace Holdings,MEDP,Jefferies/ Credit Suisse/ UBS Investment Bank/ Wells Fargo Securities,8-11-16,$23.00,$27.79,$28.15,20.83%
Protagonist Therapeutics,PTGX,Leerink Partners/ Barclays/ BMO Capital Markets,8-11-16,$12.00,$11.70,$12.00,-2.50%
Airgain,AIRG,Northland Capital Markets,8-12-16,$8.00,$8.00,$8.00,0.00%
Stellar Acquisition III,STRU,Maxim Group LLC,8-19-16,$10.00,$9.97,$10.00,-0.30%
M I Acquisitions,MACQU,Chardan Capital Markets,9-14-16,$10.00,$10.00,$10.00,0.00%
Noble Midstream Partners LP,NBLX,Barclays/ Baird/ J.P. Morgan/ BofA Merrill Lynch/ Citigroup/ Deutsche Bank Securities/ DNB Markets/ Mizuho Securities/ MUFG/ Wells Fargo Securities,9-15-16,$22.50,$26.20,$26.50,16.44%
Everbridge,EVBG,Credit Suisse/ BofA Merrill Lynch,9-16-16,$12.00,$15.25,$12.30,27.08%
FB Financial,FBK,"J.P. Morgan/ UBS/ Keefe, Bruyette & Woods (A Stifel Company)",9-16-16,$19.00,$20.75,$21.15,9.21%
Saban Capital Acquisition (SCACU) (u),SCACU,Deutsche Bank Securities/ Goldman Sachs,9-16-16,$10.00,$10.05,$10.06,0.50%
Novan,NOVN,Piper Jaffray,9-21-16,$11.00,$18.10,$14.40,64.55%
The Trade Desk,TTD,Citigroup/ Jefferies/  RBC Capital Markets,9-21-16,$18.00,$30.10,$28.75,67.22%
CapStar Financial Holdings,CSTR,"Keefe, Bruyette & Woods/ Sandler O’Neill + Partners, L.P",9-22-16,$15.00,$15.90,$16.56,6.00%
e.l.f. Beauty,ELF,J.P. Morgan/ Morgan Stanley,9-22-16,$17.00,$26.50,$24.00,55.88%
AC Immune SA,ACIU,Credit Suisse/ Jefferies/ Leerink Partners,9-23-16,$11.00,$15.66,$14.11,42.36%
Apptio,APTI,"Goldman, Sachs/ J.P. Morgan/ BofA Merrill Lynch",9-23-16,$16.00,$22.50,$23.40,40.63%
Gridsum,GSUM,Goldman Sachs (Asia)/ Citigroup,9-23-16,$13.00,$15.75,$15.25,21.15%
Valvoline,VVV,BofA Merrill Lynch/ Citigroup/ Morgan Stanley,9-23-16,$22.00,$23.10,$24.10,5.00%
Fulgent Genetics,FLGT,Credit Suisse/ Jefferies,9-29-16,$9.00,$9.18,$9.21,2.00%
MedEquities Realty Trust,MRT,FBR/ J.P. Morgan/ Citigroup/ KeyBanc Capital Markets,9-29-16,$12.00,$11.59,$11.50,-3.42%
Tabula Rasa HealthCare,TRHC,Wells Fargo Securities/ UBS Investment Bank/ Piper Jaffray,9-29-16,$12.00,$14.88,$14.70,24.00%
Nutanix,NTNX,Goldman Sachs/ Morgan Stanley/ J.P. Morgan/ RBC Capital Markets,9-30-16,$16.00,$37.00,$26.50,131.25%
Advanced Disposal Services,ADSW,Deutsche Bank Securities/ Credit Suisse/ Barclays,10-6-16,$18.00,$20.00,$20.50,11.11%
AquaVenture Holdings,WAAS,Citigroup/ Deutsche Bank Securities/ RBC Capital Markets,10-6-16,$18.00,$21.95,$21.00,21.94%
Coupa Software,COUP,Morgan Stanley/ J.P. Morgan/ Barclays/ RBC Capital Markets,10-6-16,$18.00,$33.09,$35.00,83.83%
Obalon Therapeutics,OBLN,UBS Investment Bank/ Canaccord Genuity/ Stifel,10-6-16,$15.00,$15.00,$15.21,0.00%
Camping World Holdings,CWH,Goldman Sachs/ J.P. Morgan,10-7-16,$22.00,$22.50,$23.75,2.27%
Everspin Technologies,MRAM,Stifel/ Needham & Company,10-7-16,$8.00,$8.02,$9.10,0.25%
Avista Healthcare Public Acquisition (AHPAU) (u),AHPAU,Credit Suisse,10-11-16,$10.00,$9.86,$9.82,-1.40%
AzurRx BioPharma,AZRX,WallachBeth Capital/ Network 1 Financial Securities,10-11-16,$5.50,$4.98,$5.06,-9.45%
Azure Power Global,AZRE,Barclays/ Credit Suisse,10-12-16,$18.00,$14.60,$16.12,-18.89%
Extraction Oil & Gas,XOG,Credit Suisse/ Barclays/ Goldman Sachs,10-12-16,$19.00,$21.85,$22.75,15.00%
Mammoth Energy Services,TUSK,Credit Suisse/ Barclays/ Simmons & Company International (Energy Specialists of Piper Jaffray),10-14-16,$15.00,$13.26,$13.66,-11.60%
CRISPR Therapeutics AG,CRSP,Citigroup/ Piper Jaffray/ Barclays,10-19-16,$14.00,$14.09,$15.00,0.64%
Forterra,FRTA,Goldman Sachs/ Citigroup/ Credit Suisse,10-20-16,$18.00,$16.50,$16.61,-8.33%
iRhythm Technologies,IRTC,J.P. Morgan/ Morgan Stanley,10-20-16,$17.00,$26.05,$26.75,53.24%
Ra Pharmaceuticals,RARX,Credit Suisse/ Jefferies/ BMO Capital Markets,10-26-16,$13.00,$13.00,$14.16,0.00%
GTY Technology Holdings,GTYHU,Citigroup,10-27-16,$10.00,$10.05,$10.04,0.50%
Myovant Sciences Ltd.,MYOV,Citigroup/ Cowen and Company/ Evercore ISI/ Barclays,10-27-16,$15.00,$13.26,$15.00,-11.60%
ZTO Express (Cayman),ZTO,Morgan Stanley/ Goldman Sachs (Asia),10-27-16,$19.50,$16.57,$18.40,-15.03%
Acushnet Holdings,GOLF,J.P. Morgan/ Morgan Stanley/ Nomura/ UBS Investment Bank,10-28-16,$17.00,$17.95,$17.04,5.59%
BlackLine,BL,Goldman Sachs/ J.P. Morgan,10-28-16,$17.00,$23.70,$24.52,39.41%
Quantenna Communications,QTNA,Morgan Stanley/ Barclays/ Deutsche Bank Securities,10-28-16,$16.00,$15.50,$16.80,-3.13%
GDS Holdings Ltd.,GDS,Credit Suisse/ J.P. Morgan,11-2-16,$10.00,$10.41,$10.00,4.10%
Smart Sand,SND,Credit Suisse/ GoldmanSachs,11-4-16,$11.00,$10.99,$10.30,-0.09%
Innovative Industrial Properties,IIPR,Ladenburg Thalmann/ Compass Point,12-1-16,$20.00,$19.15,$20.25,-4.25%
Polar Power,POLA,Roth Capital Partners/ Joseph Gunnar,12-7-16,$7.00,$9.00,$7.55,28.57%
SenesTech,SNES,Roth Capital Partners,12-8-16,$8.00,$8.16,$8.25,2.00%
Athene Holding Ltd.,ATH,Goldman Sachs/ Barclays/ Citigroup/ Wells Fargo Securities,12-9-16,$40.00,$44.05,$43.56,10.13%
"Ichor Holdings, Ltd.",ICHR,Deutsche Bank Securities/ Stifel,12-9-16,$9.00,$9.77,$10.25,8.56%
WildHorse Resource Development,WRD,Barclays/ BofA Merrill Lynch/ BMO Capital Markets/ Citigroup/ Wells Fargo Securities,12-14-16,$15.00,$15.06,$15.70,0.40%
trivago N.V.,TRVG,J.P. Morgan/ Goldman Sachs/ Morgan Stanley,12-16-16,$11.00,$11.85,$11.20,7.73%
Patriot National,PN,UBS Investment Bank/ BMO Capital Markets/ SunTrust Robinson Humphrey,1-16-15,$14.00,$13.50,$13.49,-3.57%
County Bancorp,ICBK,Baird/ Sterne Agee,1-16-15,$15.75,$17.00,$16.35,7.94%
Quinpario Acquisition Corp. 2,QPACU,Deutsche Bank Securities/ Cantor Fitzgerald,1-16-15,$10.00,$10.00,$10.01,0.00%
Box,BOX,Morgan Stanley/ Credit Suisse/ J.P. Morgan,1-23-15,$14.00,$23.23,$20.20,65.93%
Zosano Pharma (ZSAN),ZSAN,Ladenburg Thalmann/ Roth Capital Partners,1-27-15,$11.00,$11.10,$12.16,0.91%
Ascendis Pharma A/S,ASND,BofA Merrill Lynch/ Leerink Partners,1-28-15,$18.00,$18.83,$21.50,4.61%
Entellus Medical,ENTL,BofA Merrill Lynch/ Piper Jaffray,1-29-15,$17.00,$22.00,$19.26,29.41%
Flex Pharma,FLKS,Jefferies/ Piper Jaffray,1-29-15,$16.00,$14.95,$19.00,-6.56%
Presbia PLC,LENS,Jefferies,1-29-15,$10.00,$8.15,$9.25,-18.50%
Avinger,AVGR,Canaccord Genuity/ Cowen,1-30-15,$13.00,$13.50,$13.15,3.85%
InfraREIT,HIFR,BofA Merrill Lynch/ Citigroup,1-30-15,$23.00,$26.60,$27.10,15.65%
Spark Therapeutics,ONCE,J.P. Morgan/ Credit Suisse,1-30-15,$23.00,$50.00,$42.05,117.39%
Tracon Pharmaceuticals,TCON,Wells Fargo Securities/ Stifel,1-30-15,$10.00,$9.40,$10.00,-6.00%
Shake Shack,SHAK,J.P. Morgan/ Morgan Stanley,1-30-15,$21.00,$45.90,$47.00,118.57%
Nexvet Biopharma plc,NVET,BofA Merrill Lynch/ Cowen and Company,2-5-15,$10.00,$8.88,$9.15,-11.20%
Barington/Hilco Acquisition,BHACU,EarlyBirdCapital,2-6-15,$10.00,$9.99,$10.00,-0.10%
Columbia Pipeline Partners LP,CPPL,Barclays/ Citigroup/ BofA Merrill Lynch/ Goldman Sachs/ J.P. Morgan/ Morgan Stanley/ Wells Fargo Securities,2-6-15,$23.00,$26.79,$28.00,16.48%
Easterly Government Properties  (DEA),DEA,Citigroup/ Raymond James/ RBC Capital Markets,2-6-15,$15.00,$15.50,$16.25,3.33%
Avenue Financial,AVNU,"Keefe, Bruyette & Woods (A Stifel Company)",2-10-15,$11.00,$11.85,$14.30,7.73%
Inovalon Holdings,INOV,Goldman Sachs/ Morgan Stanley/ Citigroup/ BofA Merrill Lynch/ UBS Investment Bank,2-12-15,$27.00,$27.00,$33.16,0.00%
Invitae,NVTA,J.P. Morgan,2-12-15,$16.00,$17.05,$17.50,6.56%
Bellerophon Therapeutics,BLPH,Leerink Partners/ Cowen and Company,2-13-15,$12.00,$8.97,$10.00,-25.25%
Eyegate Pharmaceuticals,EYEG,Aegis Capital Corp,2-13-15,$6.00,$6.00,$6.00,0.00%
Great Ajax,AJX,FBR/ Sterne Agee/ Nomura,2-13-15,$14.25,$14.00,$14.25,-1.75%
FinTech Acquisition,FNTCU,Cantor Fitzgerald,2-13-15,$10.00,$10.00,$10.00,0.00%
Inotek Pharmaceuticals,ITEK,Cowen and Company/ Piper Jaffray,2-18-15,$6.00,$6.00,$6.10,0.00%
Check-Cap Ltd.,CHEKU,Chardan Capital Markets/ Maxim Group,2-19-15,$6.00,$6.01,$6.00,0.17%
Baozun,BZUN,Morgan Stanley/ Credit Suisse/ BofA Merrill Lynch,2-21-15,$10.00,$10.44,$10.25,4.40%
Community Healthcare Trust,CHCT,Sandler ONeill + Partners/ SunTrust Robinson Humphrey,2-21-15,$19.00,$19.75,$19.00,3.95%
MaxPoint Interactive,MXPT,Goldman Sachs/ Deutsche Bank Securities/ Pacific Crest Securities,3-6-15,$11.50,$9.76,$11.00,-15.13%
Summit Materials,SUM,Citigroup/ Goldman Sachs/ BofA Merrill Lynch/ Barclays/ Deutsche Bank Securities/ RBC Capital Markets,3-12-15,$18.00,$20.97,$20.16,16.50%
Goldman Sachs BDC,GSBD,BofA Merrill Lynch/ Goldman Sachs/ Morgan Stanley/ Citigroup/ Credit Suisse/ Wells Fargo Securities,3-17-15,$20.00,$20.05,$19.50,0.25%
National Commerce,NCOM,"Keefe, Bruyette & Woods (A Stifel Company)",3-19-15,$19.50,$21.12,$21.05,8.31%
SteadyMed,STDY,Wells Fargo Securities/ RBC Capital Markets,3-20-15,$8.50,$8.60,$8.06,1.18%
Harmony Merger,HRMNU,Cantor Fitzgerald & Co.,3-24-15,$10.00,$10.00,$10.00,0.00%
SolarEdge Technologies,SEDG,Goldman Sachs/ Deutsche Bank Securities,3-26-15,$18.00,$20.70,$20.00,15.00%
Jernigan Capital,JCAP,Raymond James/ Baird/ Wunderlich Securities,3-27-15,$20.00,$20.31,$20.05,1.55%
GoDaddy,GDDY,Morgan Stanley/ J.P. Morgan/ Citigroup/ Barclays/ Deutsche Bank Securities/ RBC Capital Markets,4-1-15,$20.00,$26.15,$26.15,30.75%
Kornit Digital Ltd.,KRNT,Barclays/ Citigroup,4-2-15,$10.00,$14.00,$12.94,40.00%
Wowo Ltd,WOWO,Axiom,4-8-15,$10.00,$10.29,$11.06,2.90%
Carbylan Therapeutics,CBYL,Leerink Partners,4-9-15,$5.00,$5.56,$5.56,11.20%
Cidara Therapeutics,CDTX,Jefferies/ Leerink Partners,4-15-15,$16.00,$16.00,$16.11,0.00%
Aduro Biotech,ADRO,BofA Merrill Lynch/ Leerink Partners,4-15-15,$17.00,$42.00,$32.00,147.06%
Etsy,ETSY,Goldman Sachs,4-16-15,$16.00,$30.00,$31.00,87.50%
KemPharm,KMPH,Cowen and Company/ RBC Capital Markets,4-16-15,$11.00,$11.20,$11.75,1.82%
Party City Holdco,PRTY,Goldman Sachs/ BofA Merrill Lynch,4-16-15,$17.00,$20.70,$20.50,21.76%
Virtu Financial,VIRT,"Goldman Sachs/ J.P. Morgan/ Sandler O'Neill + Partners, L.P.",4-16-15,$19.00,$22.18,$23.00,16.74%
National Storage Affiliates Trust  (NSA),NSA,Jefferies/ Morgan Stanley/ Wells Fargo Securities,4-23-15,$13.00,$13.00,$13.00,0.00%
Apigee,APIC,Morgan Stanley/ J.P. Morgan/ Credit Suisse,4-24-15,$17.00,$16.70,$20.00,-1.76%
Atlantic Alliance Partnership,AAPC,Citigroup,4-29-15,$10.00,$10.06,$10.01,0.60%
"Enviva Partners, LP",EVA,Barclays/ Goldman Sachs/ RBC Capital Markets/ Citigroup,4-29-15,$20.00,$21.50,$20.00,7.50%
Viking Therapeutics,VKTX,Laidlaw & Company (UK) Ltd.,4-29-15,$8.00,$8.96,$8.61,12.00%
Blueprint Medicines,BPMC,Goldman Sachs/ Cowen and Company,4-30-15,$18.00,$18.87,$23.40,4.83%
Arowana,ARWAU,EarlyBirdCapital,5-1-15,$10.00,$10.02,$10.01,0.20%
"Black Stone Minerals, L.P.",BSM,Barclays/ BofA Merrill Lynch/ Citigroup/ Credit Suisse/ Wells Fargo Securities,5-1-15,$19.00,$18.24,$19.15,-4.00%
OpGen,OPGN,Maxim Group,5-5-15,$6.00,$4.85,$5.30,-19.17%
Adaptimmune Therapeutics PLC,ADAP,BofA Merrill Lynch/ Cowen and Company/ Leerink Partners,5-6-15,$17.00,$16.00,$19.25,-5.88%
CoLucid Pharmaceuticals,CLCD,Piper Jaffray/ Stifel,5-6-15,$10.00,$8.00,$7.80,-20.00%
HTG Molecular Diagnostics,HTGM,Leerink Partners,5-6-15,$14.00,$13.77,$14.00,-1.64%
aTYR PHARMA,LIFE,J.P. Morgan/ Citigroup,5-7-15,$14.00,$14.95,$13.25,6.79%
Collegium Pharmaceutical,COLL,Jefferies/ Piper Jaffray,5-7-15,$12.00,$12.29,$12.00,2.42%
"Tallgrass Energy GP, LP",TEGP,Citigroup/ Goldman Sachs,5-7-15,$29.00,$31.75,$30.90,9.48%
Bojangles,BOJA,BofA Merrill Lynch/ Wells Fargo Securities/ Jefferies,5-8-15,$19.00,$23.75,$26.55,25.00%
"EQT GP Holdings, LP",EQGP,Barclays/ Goldman Sachs,5-12-15,$27.00,$32.96,$32.00,22.07%
Jaguar Animal Health,JAGX,Aegis Capital Corp,5-13-15,$7.00,$6.78,$7.00,-3.14%
Fenix Parts,FENX,BMO Capital Markets/ Stifel,5-14-15,$8.00,$8.44,$7.80,5.50%
Arcadia Biosciences,RKDA,Credit Suisse/ J.P. Morgan/ Piper Jaffray,5-15-15,$8.00,$7.30,$7.49,-8.75%
Fortress Transportation and Infrastructure Investors,FTAI,Citigroup/ BofA Merrill Lynch/ Barclays/ Deutsche Bank Securities/ UBS Investment Bank,5-15-15,$17.00,$16.55,$16.00,-2.65%
Black Knight Financial Services,BKFS,J.P. Morgan/ BofA Merrill Lynch/ Wells Fargo Securities,5-19-15,$24.50,$27.11,$26.25,10.65%
GP Investments Acquisition,GPIAU,Citigroup,5-20-15,$10.00,$10.02,$10.05,0.20%
PGA Holdings,PGND,Barclays/ Goldman Sachs/ William Blair,5-21-15,$25.00,$27.50,$27.67,10.00%
Shopify,SHOP,Morgan Stanley/ Credit Suisse/ RBC Capital Markets,5-21-15,$17.00,$25.68,$28.00,51.06%
"PennTex Midstream Partners, LP",PTXP,"Citigroup/ Barclays/ RBC Capital Markets/ Tudor, Pickering, Holt",6-4-15,$20.00,$19.48,$20.95,-2.60%
DAVIDsTEA,DTEA,Goldman Sachs/ J.P. Morgan,6-5-15,$19.00,$27.00,$25.00,42.11%
EndoChoice (ECPM Holdings),GI,J.P. Morgan/ BofA Merrill Lynch/ William Blair/ Stifel,6-5-15,$15.00,$17.00,$14.50,13.33%
Evolent Health,EVH,J.P. Morgan/ Goldman Sachs,6-5-15,$17.00,$18.86,$18.00,10.94%
Axovant Sciences,AXON,Jefferies/ Evercore ISI/ RBC Capital Markets,6-11-15,$15.00,$29.90,$20.93,99.33%
Electrum Special Acquisition,ELECU,Cantor Fitzgerald,6-11-15,$10.00,$10.15,$10.06,1.50%
People's Utah Bancorp,PUB,D.A. Davidson & Co.,6-11-15,$14.40,$16.70,$15.76,15.97%
Wingstop,WING,Morgan Stanley/ Jefferies/ Baird,6-12-15,$19.00,$30.59,$30.50,61.00%
Invuity,IVTY,Piper Jaffray/ Leerink Partners/ Stifel,6-15-15,$12.00,$14.92,$12.75,24.33%
Nivalis Therapeutics,NVLS,Cowen and Company/ Stifel,6-17-15,$14.00,$14.92,$16.50,6.57%
Fitbit,FIT,Morgan Stanley/ Deutsche Bank Securities/ BofAMerrill Lynch,6-18-15,$20.00,$29.68,$30.40,48.40%
Univar,UNVR,Deutsche Bank Securities/ Goldman Sachs/ BofA Merrill Lynch,6-18-15,$22.00,$24.05,$24.10,9.32%
8point3 Energy Partners LP,CAFD,Goldman Sachs/ Citigroup/ Deutsche Bank Securities/ J.P. Morgan/ Credit Agricole CIB,6-19-15,$21.00,$20.49,$20.80,-2.43%
Fogo de Chão,FOGO,Jefferies/ J.P. Morgan,6-19-15,$20.00,$25.75,$25.24,28.75%
MINDBODY,MB,Morgan Stanley/ Credit Suisse/ UBS Securities,6-19-15,$14.00,$11.56,$16.22,-17.43%
Ritter Pharmaceuticals,RTTR,Aegis Capital Corp,6-24-15,$5.00,$4.96,$5.00,-0.80%
Catabasis Pharmaceuticals  (CATB),CATB,Citigroup/ Cowen and Company,6-25-15,$12.00,$13.00,$12.74,8.33%
Gener8 Maritime,GNRT,Citigroup/ UBS/ Jefferies/ Evercore ISI,6-25-15,$14.00,$13.10,$12.75,-6.43%
Glaukos,GKOS,J.P. Morgan/ BofA Merrill Lynch/ Goldman Sachs,6-25-15,$18.00,$31.22,$29.11,73.44%
Lantheus Holdings,LNTH,Credit Suisse/ Jefferies/ RBC Capital Markets/ Wells Fargo Securities,6-25-15,$14.00,$11.56,$16.22,-17.43%
Milacron Holdings,MCRN,BofA Merrill Lynch/ Barclays/ J.P. Morgan/ Baird/ Credit Suisse/ Goldman Sachs,6-25-15,$20.00,$19.58,$19.50,-2.10%
TransUnion,TRU,Goldman Sachs/ J.P. Morgan/ BofA Merrill Lynch/ Deutsche Bank Securities/ RBC Capital Markets/ Wells Fargo Securities/ Credit Suisse,6-25-15,$22.50,$24.50,$24.62,8.89%
