Symbol,Company,Industry,Offer Date,Shares (millions),Offer Price,1st Day Close,Current Price,Return,T-10Days,T-90Days,T+100Days,SPY 90D Return,100 day Return
CRECU,Crescera Capital Acquisition Corp.,Blank Check,2021-11-19,17.5,$10.00,$10.03,$10.06,0.60%,2021-11-09,2021-08-27,2022-02-27,0.04482462905215081,0.0
FINW,FinWise Bancorp,Financials,2021-11-19,3.5,$10.50,$12.73,$15.37,46.38%,2021-11-09,2021-08-27,2022-02-27,0.044824560604958194,0.6614297234149603
LITM,SNOW LAKE RESOURCES LTD.,Basic Materials,2021-11-19,3.2,$7.50,$13.00,$5.13,-31.60%,2021-11-09,2021-08-27,2022-02-27,0.044824560604958194,-0.5192307692307693
SG,"Sweetgreen, Inc.",Consumer Services,2021-11-18,13.0,$28.00,$49.50,$27.73,-0.96%,2021-11-08,2021-08-26,2022-02-26,0.053267141489968396,-0.5125252694794626
BRZE,"Braze, Inc.",Technology,2021-11-17,8.0,$65.00,$93.39,$40.19,-38.17%,2021-11-07,2021-08-25,2022-02-25,0.04704955719089555,-0.5394582010640796
IREN,Iris Energy Limited,Financials,2021-11-17,8.3,$28.00,$24.45,$8.69,-68.96%,2021-11-07,2021-08-25,2022-02-25,0.04704955719089555,-0.4331288660863438
SEV,SONO GROUP N.V.,Industrials,2021-11-17,10.0,$15.00,$38.20,$4.93,-67.13%,2021-11-07,2021-08-25,2022-02-25,0.04704948853938558,-0.867277485068007
USER,"USERTESTING, INC.",Technology,2021-11-17,10.0,$14.00,$14.01,$8.03,-42.64%,2021-11-07,2021-08-25,2022-02-25,0.04704948853938558,-0.4225553161726416
ENCPU,ENERGEM CORP.,Blank Check,2021-11-16,10.0,$10.00,$10.12,$10.12,1.20%,2021-11-06,2021-08-24,2022-02-24,0.049246619729743486,-0.008333337229061823
DERM,Journey Medical Corp.,Health Care,2021-11-12,3.5,$10.00,$0.00,$3.93,-60.70%,2021-11-02,2021-08-20,2022-02-20,0.04094609061315773,-0.4535353478917343
MYNA,Mynaric AG,Technology,2021-11-12,4.0,$16.50,$0.00,$10.25,-37.88%,2021-11-02,2021-08-20,2022-02-20,0.0409460182560634,-0.5234449655531918
BLZE,"BACKBLAZE, INC.",Technology,2021-11-11,6.3,$16.00,$19.90,$9.48,-40.75%,2021-11-01,2021-08-19,2022-02-19,0.04742709227744083,-0.5030150485976147
PIK,Kidpik Corp.,Consumer Goods,2021-11-11,2.1,$8.50,$8.50,$2.01,-76.35%,2021-11-01,2021-08-19,2022-02-19,0.04742716234144079,-0.5458823652828441
