Company,Symbol,Industry,Offer Date,Shares (millions),Offer Price,1st Day Close,Current Price,Return
Coliseum Acquisition Corp.,MITAU,Blank Check,6/23/2021,15,$10.00,$9.90,$9.80,-2.00%
First Advantage Corp.,FA,Other,6/23/2021,25.5,$15.00,$19.70,$17.34,15.60%
"Sprinklr, Inc.",CXM,Technology,6/23/2021,16.6,$16.00,$17.60,$13.65,-14.69%
Full Truck Alliance Co. Ltd.,YMM,Technology,6/22/2021,82.5,$19.00,$21.50,$6.03,-68.26%
AiHuiShou International Co. Ltd.,RERE,Consumer Goods,6/18/2021,16.2,$14.00,$17.21,$2.84,-79.71%
Ambrx Biopharma,AMAM,Health Care,6/18/2021,7,$18.00,$17.05,$3.66,-79.67%
ATAI Life Sciences B.V.*,ATAI,Health Care,6/18/2021,15,$15.00,$19.45,$4.29,-71.40%
"Century Therapeutics, Inc.",IPSC,Health Care,6/18/2021,10.6,$20.00,$0.00,$12.02,-39.90%
Codex DNA,DNAY,Health Care,6/18/2021,6.7,$16.00,$18.50,$3.90,-75.63%
Cyteir Therapeutics,CYT,Health Care,6/18/2021,7.4,$18.00,$17.40,$2.25,-87.50%
Femasys Inc.,FEMY,Health Care,6/18/2021,2.7,$13.00,$12.00,$1.63,-87.46%
Tremor International Ltd.,TRMR,Technology,6/18/2021,6.8,$19.00,$17.90,$11.65,-38.68%
"Angel Oak Mortgage, Inc.",AOMR,Financials,6/17/2021,8.1,$19.00,$18.65,$16.16,-14.95%
iSpecimen Inc.,ISPC,Health Care,6/17/2021,2.3,$8.00,$7.15,$3.19,-60.13%
"Lyell Immunopharma, Inc.",LYEL,Health Care,6/17/2021,25,$17.00,$16.89,$5.13,-69.82%
Verve Therapeutics,VERV,Health Care,6/17/2021,14,$19.00,$31.92,$15.39,-19.00%
Convey Holding (Convey Health Solutions),CNVY,Consumer Services,6/16/2021,13.3,$14.00,$13.00,$5.09,-63.64%
MOLECULAR PARTNERS AG,MOLN,Health Care,6/16/2021,3,$21.25,$0.00,$8.70,-59.06%
WalkMe Ltd.,WKME,Technology,6/16/2021,9.3,$31.00,$28.85,$16.10,-48.06%
Alzamend Neuro,ALZN,Health Care,6/15/2021,2.5,$5.00,$13.50,$1.02,-79.60%
"Janux Therapeutics, Inc.",JANX,Health Care,6/11/2021,11.4,$17.00,$25.15,$9.84,-42.12%
Kanzhun Ltd.,BZ,Technology,6/11/2021,48,$19.00,$37.20,$20.85,9.74%
"TaskUs, Inc.",TASK,Technology,6/11/2021,13.2,$23.00,$31.09,$28.89,25.61%
"1stdibs.com, Inc.",DIBS,Consumer Goods,6/10/2021,5.8,$20.00,$28.50,$7.56,-62.20%
"LifeStance Health Group, Inc.",LFST,Health Care,6/10/2021,40,$18.00,$21.90,$6.77,-62.39%
monday.com Ltd.,MNDY,Technology,6/10/2021,3.7,$155.00,$178.87,$132.88,-14.27%
Zeta Global Holdings,ZETA,Technology,6/10/2021,21.5,$10.00,$8.89,$10.83,8.30%
"Marqeta, Inc.",MQ,Technology,6/9/2021,45.5,$27.00,$30.52,$9.30,-65.56%
Zhangmen Education Inc.,ZME,Consumer Services,6/8/2021,3.6,$11.50,$16.99,$0.85,-92.61%
DLocal Limited,DLO,Technology,6/3/2021,29.4,$21.00,$32.39,$23.65,12.62%
Centessa Pharmaceuticals plc,CNTA,Health Care,5/28/2021,16.5,$20.00,$21.75,$8.72,-56.40%
Day One Biopharmaceuticals Holding Co,DAWN,Health Care,5/27/2021,10,$16.00,$25.89,$8.52,-46.75%
"FIGS, Inc.",FIGS,Consumer Goods,5/27/2021,26.4,$22.00,$30.02,$15.66,-28.82%
Singular Genomics Systems,OMIC,Health Care,5/27/2021,10.2,$22.00,$25.72,$4.49,-79.59%
Dynamics Special Purpose Corp.,DYNS,Blank Check,5/26/2021,20,$10.00,$9.98,$9.90,-1.00%
Flywire Corp,FLYW,Technology,5/26/2021,10.4,$24.00,$35.10,$30.51,27.13%
"Paymentus Holdings, Inc.",PAY,Technology,5/26/2021,10,$21.00,$28.61,$16.56,-21.14%
ZipRecruiter,ZIP,Technology,5/26/2021,86.6,$20.00,$21.10,$22.51,12.55%
Fifth Wall Acquisition Corp. III,FWAC,Blank Check,5/25/2021,25,$10.00,$10.00,$9.74,-2.60%
Oatly Group AB,OTLY,Consumer Goods,5/20/2021,84.4,$17.00,$20.20,$3.56,-79.06%
Procore Technologies,PCOR,Technology,5/20/2021,9.5,$67.00,$88.00,$55.47,-17.21%
"Squarespace, Inc.",SQSP,Technology,5/19/2021,40.4,$50.00,$43.65,$19.97,-60.06%
"Vera Therapeutics, Inc.",VERA,Health Care,5/14/2021,4.4,$11.00,$11.50,$20.00,81.82%
Global-E Online Ltd.,GLBE,Technology,5/12/2021,15,$25.00,$25.50,$23.94,-4.24%
iPower Inc.,IPW,Consumer Goods,5/12/2021,3.4,$5.00,$5.74,$1.29,-74.20%
SimilarWeb Ltd.,SMWB,Technology,5/12/2021,8,$22.00,$21.87,$13.48,-38.73%
Flora Growth,FLGC,Health Care,5/11/2021,3.3,$5.00,$4.79,$1.44,-71.20%
"Anebulo Pharmaceuticals, Inc.",ANEB,Health Care,5/7/2021,3,$7.00,$7.10,$4.02,-42.57%
Bowman Consulting Group Ltd.,BWMN,Other,5/7/2021,3.7,$14.00,$14.00,$16.69,19.21%
Onion Global Limited,OG,Consumer Goods,5/7/2021,9.3,$7.25,$7.00,$1.38,-80.97%
Talaris Therapeutics,TALS,Health Care,5/7/2021,8.8,$17.00,$16.25,$7.06,-58.47%
Waterdrop Inc.,WDH,Financials,5/7/2021,30,$12.00,$9.70,$1.53,-87.25%
Valneva SE,VALN,Health Care,5/6/2021,3.5,$26.41,$28.35,$26.23,-0.68%
Five Star Bancorp,FSBC,Financials,5/5/2021,5.3,$20.00,$24.25,$24.95,24.75%
"The Honest Company, Inc.",HNST,Consumer Goods,5/5/2021,25.8,$16.00,$23.00,$4.07,-74.56%
NeuroPace Inc.,NPCE,Health Care,4/22/2021,6,$17.00,$0.00,$0.00,0.00%
"Zymergen, Inc.",ZY,Consumer Services,4/22/2021,16.3,$31.00,$0.00,$0.00,0.00%
"DoubleVerify Holdings, Inc.",DV,Technology,4/21/2021,13.3,$27.00,$36.00,$36.00,33.33%
"SkyWater Technology, Inc.",SKYT,Technology,4/21/2021,7,$14.00,$17.74,$17.74,26.71%
"UiPath, Inc.",PATH,Technology,4/21/2021,23.9,$56.00,$69.00,$69.00,23.21%
"Infobird Co., Ltd",IFBD,Technology,4/20/2021,6.3,$4.00,$6.03,$4.74,18.50%
"Akoya Biosciences, Inc.",AKYA,Health Care,4/16/2021,6.6,$20.00,$26.05,$23.97,19.85%
Biomea Fusion,BMEA,Health Care,4/16/2021,9,$17.00,$18.60,$17.46,2.71%
Recursion Pharmaceuticals,RXRX,Health Care,4/16/2021,24.2,$18.00,$31.30,$32.55,80.83%
"agilon health, inc.",AGL,Health Care,4/15/2021,46.6,$23.00,$31.00,$32.50,41.30%
AppLovin Corporation,APP,Technology,4/15/2021,25,$80.00,$65.20,$61.81,-22.74%
"Esports Technologies, Inc.",EBET,Consumer Services,4/15/2021,2.4,$6.00,$36.42,$22.50,275.00%
Karat Packaging Inc.,KRT,Industrials,4/15/2021,4,$16.00,$18.56,$18.00,12.50%
TuSimple Holdings Inc.,TSP,Technology,4/15/2021,33.8,$40.00,$40.25,$38.00,-5.00%
"Alkami Technology, Inc.",ALKT,Technology,4/14/2021,6,$30.00,$43.00,$42.05,40.17%
"Coinbase Global, Inc.",COIN,Consumer Services,4/14/2021,114.9,$381.00,$328.28,$311.92,-18.13%
TCV Acquisition Corp.,TCVA,Blank Check,4/14/2021,35,$10.00,$10.60,$10.49,4.90%
TPG Pace Beneficial II Corp.,YTPG,Blank Check,4/14/2021,35,$10.00,$10.11,$10.16,1.60%
Reneo Pharmaceuticals,RPHM,Health Care,4/9/2021,6.3,$15.00,$13.89,$12.80,-14.67%
TPG Pace Solutions Corp.,TPGS,Blank Check,4/9/2021,25,$10.00,$10.11,$10.13,1.30%
VectivBio Holding AG,VECT,Health Care,4/9/2021,7.5,$17.00,$24.23,$15.32,-9.88%
Panacea Acquisition Corp. II,PANA,Blank Check,4/7/2021,15,$10.00,$10.00,$10.05,0.50%
UTime Limited,UTME,Technology,4/6/2021,3.8,$4.00,$39.00,$38.20,855.00%
"Compass, Inc.",COMP,Technology,4/1/2021,25,$18.00,$20.15,$17.22,-4.33%
"Frontier Group Holdings, Inc.",ULCC,Consumer Services,4/1/2021,30,$19.00,$18.85,$19.33,1.74%
Karooooo Ltd. (Cartrack),KARO,Technology,4/1/2021,1.1,$28.00,$33.99,$32.55,16.25%
Smart Share Global Limited,EM,Technology,4/1/2021,17.7,$8.50,$8.54,$8.54,0.47%
Achilles Therapeutics plc,ACHL,Health Care,3/31/2021,9.8,$18.00,$16.55,$16.00,-11.11%
"Coursera, Inc.",COUR,Technology,3/31/2021,15.7,$33.00,$45.00,$41.00,24.24%
"Alignment Healthcare, Inc.",ALHC,Health Care,3/26/2021,27.2,$18.00,$17.31,$23.02,27.89%
"Design Therapeutics, Inc.",DSGN,Health Care,3/26/2021,12,$20.00,$41.49,$21.35,6.75%
Edgewise Therapeutics,EWTX,Health Care,3/26/2021,11,$16.00,$30.00,$26.71,66.94%
Hywin Holdings Ltd.,HYW,Financials,3/26/2021,3,$10.00,$9.90,$6.40,-36.00%
"Ikena Oncology, Inc. (formerly KYN Therapeutics)",IKNA,Health Care,3/26/2021,7.8,$16.00,$32.00,$18.39,14.94%
ThredUp Inc.,TDUP,Consumer Goods,3/26/2021,12,$14.00,$20.00,$16.65,18.93%
Zhihu Inc.,ZH,Consumer Services,3/26/2021,55,$9.50,$8.50,$9.60,1.05%
"Cricut, Inc.",CRCT,Industrials,3/25/2021,15.3,$20.00,$17.80,$20.35,1.75%
"Diversey Holdings, Ltd.",DSEY,Other,3/25/2021,46.2,$15.00,$14.98,$15.00,0.00%
LAVA Therapeutics BV,LVTX,Health Care,3/25/2021,6.7,$15.00,$14.30,$13.61,-9.27%
Olink Holding AB,OLK,Health Care,3/25/2021,17.7,$20.00,$36.00,$37.08,85.40%
"SEMrush Holdings, Inc.",SEMR,Technology,3/25/2021,10,$14.00,$11.22,$15.67,11.93%
Vizio Holding Corp.,VZIO,Consumer Goods,3/25/2021,12.3,$21.00,$19.10,$23.07,9.86%
ACV Auctions Inc.,ACVA,Other,3/24/2021,16.6,$25.00,$31.25,$33.41,33.64%
"DigitalOcean Holdings, Inc.",DOCN,Technology,3/24/2021,16.5,$47.00,$42.50,$41.63,-11.43%
Khosla Ventures Acquisition Co. II,KVSB,Blank Check,3/24/2021,40,$10.00,$10.00,$10.10,1.00%
Khosla Ventures Acquisition Co. III,KVSC,Blank Check,3/24/2021,50,$10.00,$9.75,$10.07,0.70%
Dragoneer Growth Opportunities Corp. III,DGNU,Blank Check,3/23/2021,40,$10.00,$10.00,$10.16,1.60%
Movano Inc.,MOVE,Health Care,3/23/2021,8.5,$5.00,$6.60,$5.24,4.80%
Supernova Partners Acquisition Company III,STRE.U,Blank Check,3/23/2021,25,$10.00,$10.00,$10.01,0.10%
Universe Pharmaceuticals,UPC,Health Care,3/23/2021,5,$5.00,$4.75,$3.44,-31.20%
"AFC Gamma, Inc.",AFCG,Financials,3/19/2021,6.3,$19.00,$23.00,$21.04,10.74%
Connect Biopharma Holdings Ltd.,CNTB,Health Care,3/19/2021,11.3,$17.00,$18.49,$17.08,0.47%
"Finch Therapeutics Group, Inc.",FNCH,Health Care,3/19/2021,7.5,$17.00,$21.32,$13.97,-17.82%
"Instil Bio, Inc.",TIL,Health Care,3/19/2021,16,$20.00,$26.44,$18.81,-5.95%
"Duckhorn Portfolio, Inc.",NAPA,Consumer Goods,3/18/2021,20,$15.00,$17.18,$18.35,22.33%
"Gain Therapeutics, Inc.",GANX,Health Care,3/18/2021,3.6,$11.00,$11.20,$13.50,22.73%
Research Alliance Corp. II,RACB,Blank Check,3/18/2021,13,$10.00,$10.21,$11.00,10.00%
Tuya Inc.,TUYA,Technology,3/18/2021,43.6,$21.00,$25.00,$17.77,-15.38%
Jowell Global Ltd.,JWEL,Consumer Goods,3/17/2021,3.7,$7.00,$8.71,$7.55,7.86%
"Olo, Inc.",OLO,Technology,3/17/2021,18,$25.00,$34.75,$27.22,8.88%
"Sun Country Airlines Holdings, Inc.",SNCY,Consumer Services,3/17/2021,9.1,$24.00,$36.38,$42.49,77.04%
"Hayward Holdings, Inc.",HAYW,Consumer Goods,3/12/2021,40.3,$17.00,$17.00,$16.64,-2.12%
JOANN Inc.,JOAN,Consumer Goods,3/12/2021,10.9,$12.00,$12.25,$11.39,-5.08%
MeaTech 3D Ltd.,MITC,Technology,3/12/2021,2.4,$10.30,$10.00,$8.20,-20.39%
Prometheus Biosciences,RXDX,Health Care,3/12/2021,10,$19.00,$25.29,$26.40,38.95%
Coupang,CPNG,Consumer Goods,3/11/2021,130,$35.00,$49.25,$42.62,21.77%
"First High-School Education Group Co., Ltd.",FHS,Consumer Services,3/11/2021,7.5,$10.00,$8.80,$6.29,-37.10%
Roblox Corporation,RBLX,Technology,3/10/2021,198.9,$45.00,$69.88,$71.76,59.47%
Vector Acquisition Corporation II,VAQC,Blank Check,3/10/2021,45,$10.00,$10.00,$9.92,-0.80%
SVF Investment Corp. 2,SVFB,Blank Check,3/9/2021,20,$10.00,$10.33,$10.23,2.30%
SVF Investment Corp. 3,SVFC,Blank Check,3/9/2021,28,$10.00,$0.00,$10.20,2.00%
two,TWOA,Blank Check,3/7/2021,20,$10.00,$9.85,$9.93,-0.70%
Lerer Hippeau Acquisition Corp.,LHAA,Blank Check,3/5/2021,20,$10.00,$10.02,$9.93,-0.70%
InnovAge Holding Corp.,INNV,Health Care,3/4/2021,16.7,$21.00,$24.20,$23.99,14.24%
Khosla Ventures Acquisition Co.,KVSA,Blank Check,3/4/2021,30,$10.00,$10.25,$10.37,3.70%
"Oscar Health, Inc.",OSCR,Health Care,3/3/2021,37,$39.00,$34.80,$22.81,-41.51%
ARYA Sciences Acquisition Corp IV,ARYD,Blank Check,2/26/2021,13,$10.00,$11.13,$10.85,8.50%
Score Media & Gaming Inc.,SCR,Technology,2/25/2021,6,$27.00,$30.88,$18.04,-33.19%
BriaCell Therapeutics Corp.,BCTX,Health Care,2/24/2021,5.9,$4.25,$0.00,$2.89,-32.00%
ABG Acquisition Corp. I,ABGI,Blank Check,2/17/2021,13.1,$10.00,$10.34,$9.95,-0.50%
"Virpax Pharmaceuticals, Inc.",VRPX,Health Care,2/17/2021,1.8,$10.00,$6.53,$4.09,-59.10%
Decibel Therapeutics,DBTX,Health Care,2/12/2021,7.1,$18.00,$18.03,$10.05,-44.17%
Longeveron LLC,LGVN,Health Care,2/12/2021,2.7,$10.00,$7.41,$6.02,-39.80%
NexImmune,NEXI,Health Care,2/12/2021,6.5,$17.00,$25.33,$18.49,8.76%
Talis Biomedical Corporation,TLIS,Health Care,2/12/2021,13.8,$16.00,$27.80,$12.13,-24.19%
"urban-gro, Inc.",UGRO,Industrials,2/12/2021,5.4,$10.00,$12.30,$7.90,-21.00%
"Apria, Inc.",APR,Health Care,2/11/2021,7.5,$20.00,$23.36,$28.25,41.25%
Bioventus Inc.,BVS,Health Care,2/11/2021,8,$13.00,$19.21,$14.74,13.38%
Bumble Inc.,BMBL,Technology,2/11/2021,50,$43.00,$70.31,$57.55,33.84%
loanDepot,LDI,Financials,2/11/2021,3.9,$14.00,$22.00,$18.87,34.79%
"Signify Health, Inc.",SGFY,Health Care,2/11/2021,23.5,$24.00,$31.56,$25.89,7.88%
Biophytis S.A.,BPTS,Health Care,2/10/2021,1.2,$16.75,$16.50,$12.62,-24.66%
Vallon Pharmaceuticals,VLON,Health Care,2/10/2021,2.3,$8.00,$7.52,$4.32,-46.00%
Viant Technology Inc.,DSP,Technology,2/10/2021,10,$25.00,$0.00,$33.35,33.40%
Adagene Inc.,ADAG,Health Care,2/9/2021,7.4,$19.00,$29.99,$13.60,-28.42%
Cloopen Group Holding Limited,RAAS,Technology,2/9/2021,20,$16.00,$48.00,$10.19,-36.31%
Global Internet of People,SDH,Consumer Services,2/9/2021,6.7,$4.00,$5.32,$3.15,-21.25%
Baosheng Media Group Holdings,BAOS,Consumer Services,2/8/2021,6,$5.00,$8.86,$4.23,-15.40%
Angion Biomedica,ANGN,Health Care,2/5/2021,5,$16.00,$17.02,$13.56,-15.25%
Bolt Biotherapeutics,BOLT,Health Care,2/5/2021,11.5,$20.00,$32.15,$24.34,21.70%
CN Energy Group,CNEY,Industrials,2/5/2021,5,$4.00,$5.74,$4.45,11.25%
Evaxion Biotech A/S,EVAX,Health Care,2/5/2021,3,$10.00,$9.89,$7.16,-28.40%
Fifth Wall Acquisition Corp. I,FWAA,Blank Check,2/5/2021,30,$10.00,$11.10,$10.23,2.30%
Immunocore Holdings Limited,IMCR,Health Care,2/5/2021,9.9,$26.00,$43.20,$37.30,43.46%
"Lucira Health, Inc.",LHDX,Health Care,2/5/2021,9,$17.00,$24.98,$6.66,-60.82%
Pharvaris B.V.,PHVS,Health Care,2/5/2021,8.3,$20.00,$29.00,$23.00,15.00%
"Terns Pharmaceuticals, Inc.",TERN,Health Care,2/5/2021,7.5,$17.00,$18.39,$16.78,-1.29%
Vor Biopharma Inc.,VOR,Health Care,2/5/2021,9.8,$18.00,$37.50,$27.25,51.39%
Atotech Limited,ATC,Basic Materials,2/4/2021,29.3,$17.00,$19.25,$21.92,28.94%
"Landos Biopharma, Inc.",LABP,Health Care,2/4/2021,6.3,$16.00,$12.00,$10.06,-37.13%
"Sana Biotechnology, Inc.",SANA,Health Care,2/4/2021,23.5,$25.00,$35.10,$24.10,-3.60%
Sensei Biotherapeutics,SNSE,Health Care,2/4/2021,7,$19.00,$18.90,$12.98,-31.68%
"ON24, INC.",ONTF,Technology,2/3/2021,8.6,$50.00,$70.82,$40.46,-19.08%
TELUS International (Cda) Inc.,TIXT,Technology,2/3/2021,37,$25.00,$30.40,$28.39,13.56%
Home Point Capital Inc.,HMPT,Financials,1/29/2021,7.3,$13.00,$11.32,$9.74,-25.08%
Trinity Capital Inc.,TRIN,Financials,1/29/2021,7.4,$14.00,$15.00,$14.69,4.93%
Agrify,AGFY,Consumer Goods,1/28/2021,5.4,$10.00,$12.74,$9.80,-2.00%
Ortho Clinical Diagnostics Holdings plc,OCDX,Health Care,1/28/2021,76,$17.00,$16.10,$20.00,17.65%
Qualtrics International,XM,Technology,1/28/2021,51.7,$30.00,$45.50,$33.84,12.80%
Vinci Partners Investments Ltd.,VINP,Financials,1/28/2021,13.9,$18.00,$16.90,$11.59,-35.61%
ZIM Integrated Shipping Services Ltd.,ZIM,Industrials,1/28/2021,14.5,$15.00,$11.50,$28.73,91.53%
HealthCor Catalio Acquisition Corp.,HCAQ,Blank Check,1/27/2021,18,$10.00,$10.01,$9.93,-0.70%
Shoals Technologies Group,SHLS,Technology,1/27/2021,77,$25.00,$30.98,$33.91,35.64%
TIAN RUIXIANG Holdings,TIRX,Financials,1/27/2021,3,$4.00,$25.50,$12.52,213.00%
Bridgetown 2 Holdings Ltd.,BTNB,Blank Check,1/26/2021,26,$10.00,$13.00,$10.23,2.30%
EZGO Technologies Ltd.,EZGO,Consumer Goods,1/26/2021,2.8,$4.00,$18.11,$5.96,49.00%
"Huadi International Group Co., Ltd.",HUDI,Basic Materials,1/22/2021,3.1,$8.00,$7.13,$4.20,-47.50%
Montauk Renewables,MNTK,Oil & Gas,1/22/2021,3,$8.50,$11.73,$9.00,5.88%
Patria Investments Ltd.,PAX,Industrials,1/22/2021,30.1,$17.00,$19.90,$15.04,-11.53%
RLX Technology,RLX,Consumer Goods,1/22/2021,116.5,$12.00,$29.51,$9.08,-24.33%
Dream Finders Homes,DFH,Consumer Goods,1/21/2021,9.6,$13.00,$20.95,$22.14,70.31%
MYT Netherlands Parent B.V.,MYTE,Consumer Goods,1/21/2021,15.7,$26.00,$31.00,$28.37,9.12%
Driven Brands Holdings,DRVN,Consumer Services,1/15/2021,31.8,$22.00,$26.69,$25.00,13.64%
Playtika Holding Corp.,PLTK,Technology,1/15/2021,69.5,$27.00,$31.62,$26.68,-1.19%
Thoma Bravo Advantage,TBA.U,Blank Check,1/15/2021,90,$10.00,$11.76,$11.76,18.30%
"Petco Health and Wellness Company, Inc.",WOOF,Consumer Goods,1/14/2021,48,$18.00,$29.40,$23.74,31.89%
"Poshmark, Inc.",POSH,Consumer Goods,1/14/2021,6.6,$42.00,$101.50,$38.75,-7.74%
Affirm Holdings,AFRM,Consumer Services,1/13/2021,24.6,$49.00,$97.24,$65.00,32.65%
Motorsport Games,MSGM,Technology,1/13/2021,3,$20.00,$35.00,$19.22,-3.90%
Kuke Music Holding Limited,KUKE,Consumer Services,1/12/2021,5,$10.00,$10.10,$6.15,-38.50%
Qilian International Holding Group,QLI,Health Care,1/12/2021,5,$5.00,$10.00,$4.26,-14.80%
Cullinan Management (Cullinan Oncology),CGEM,Health Care,1/8/2021,11.9,$21.00,$29.91,$33.84,61.14%
Gracell Biotechnologies Inc.,GRCL,Health Care,1/8/2021,11,$19.00,$25.06,$12.69,-33.21%
Omega Alpha SPAC,OMEG,Blank Check,1/7/2021,12,$10.00,$10.36,$10.04,0.40%
"MEDIROM Healthcare Technologies, Inc.",MRM,Consumer Services,12/29/2020,0.8,$15.00,$15.11,$9.00,-40.00%
Inhibikase Therapeutics,IKT,Health Care,12/23/2020,1.8,$10.00,$9.90,$5.03,-49.70%
908 Devices Inc.,MASS,Health Care,12/18/2020,6.5,$20.00,$49.00,$51.03,155.15%
Midwest Holding,MDWT,Financials,12/17/2020,1,$70.00,$56.25,$45.80,-34.57%
Virios Therapeutics,VIRI,Health Care,12/17/2020,3,$10.00,$16.71,$5.17,-48.30%
"BioAtla, Inc.",BCAB,Health Care,12/16/2020,10.5,$18.00,$31.02,$48.52,169.56%
ContextLogic Inc. (Wish),WISH,Consumer Goods,12/16/2020,46,$24.00,$20.05,$12.07,-49.71%
Upstart Holdings,UPST,Financials,12/16/2020,12,$20.00,$29.47,$100.61,403.05%
Oriental Culture Holding LTD.,OCG,Consumer Services,12/15/2020,5.1,$4.00,$6.00,$5.45,36.25%
Wunong Net Technology Company Limited,WNW,Consumer Services,12/15/2020,6,$5.00,$12.05,$8.21,64.20%
4D Molecular Therapeutics,FDMT,Health Care,12/11/2020,8.4,$23.00,$40.50,$31.93,38.83%
AbCellera Biologics,ABCL,Health Care,12/11/2020,24.2,$20.00,$58.90,$29.06,45.30%
Certara,CERT,Technology,12/11/2020,29.1,$23.00,$38.09,$27.33,18.83%
Vivos Therapeutics,VVOS,Health Care,12/11/2020,3.5,$6.00,$8.99,$7.67,27.83%
"Airbnb, Inc.",ABNB,Consumer Services,12/10/2020,51.6,$68.00,$144.71,$167.07,145.69%
"Hydrofarm Holdings Group, Inc.",HYFM,Consumer Goods,12/10/2020,8.7,$20.00,$51.99,$59.54,197.70%
C3.ai,AI,Technology,12/9/2020,15.5,$42.00,$92.49,$66.51,58.36%
"DoorDash, Inc.",DASH,Consumer Services,12/9/2020,33,$102.00,$189.51,$144.35,41.52%
PubMatic,PUBM,Technology,12/9/2020,5.9,$20.00,$29.45,$46.62,133.10%
17 Education & Technology Group,YQ,Consumer Services,12/4/2020,27.4,$10.50,$10.58,$6.23,-40.67%
"Seer, Inc.",SEER,Health Care,12/4/2020,9.2,$19.00,$56.46,$50.65,166.58%
"Sigilon Therapeutics, Inc.",SGTX,Health Care,12/4/2020,7,$18.00,$34.78,$16.00,-11.11%
"Silverback Therapeutics, Inc.",SBTX,Health Care,12/4/2020,11.5,$21.00,$0.00,$38.13,81.57%
Kinnate BioPharma Inc.,KNTE,Health Care,12/3/2020,12,$20.00,$39.03,$26.91,34.55%
HF Enterprises,HFEN,Financials,11/24/2020,2.2,$7.00,$6.98,$6.15,-12.14%
Ozon Holdings PLC,OZON,Consumer Goods,11/24/2020,33,$30.00,$40.18,$59.88,99.60%
Vision Marine Technologies,VMAR,Consumer Goods,11/24/2020,2.4,$10.00,$14.44,$6.07,-39.30%
Maravai LifeSciences Holdings,MRVI,Health Care,11/20/2020,60,$27.00,$29.85,$35.49,31.44%
Sotera Health Company,SHC,Health Care,11/20/2020,46.6,$23.00,$0.00,$25.29,9.96%
NeoGames S.A.,NGMS,Consumer Services,11/19/2020,4.8,$17.00,$21.87,$38.18,124.59%
Olema Pharmaceuticals,OLMA,Health Care,11/19/2020,11,$19.00,$49.00,$33.55,76.58%
Yatsen Holding Limited,YSG,Consumer Goods,11/19/2020,58.8,$10.50,$18.40,$9.80,-6.67%
Atea Pharmaceuticals,AVIR,Health Care,10/30/2020,12.5,$24.00,$30.34,$42.34,76.42%
Lufax Holding Ltd,LU,Financials,10/30/2020,175,$13.50,$12.85,$13.17,-2.44%
SQZ Biotechnologies,SQZ,Health Care,10/30/2020,4.4,$16.00,$13.25,$12.69,-20.69%
Allegro MicroSystems,ALGM,Technology,10/29/2020,25,$14.00,$17.70,$26.09,86.36%
Galecto,GLTO,Health Care,10/29/2020,5.7,$15.00,$15.00,$5.70,-62.00%
Leslie’s,LESL,Consumer Goods,10/29/2020,40,$17.00,$21.70,$25.46,49.76%
Biodesix,BDSX,Health Care,10/28/2020,4,$18.00,$12.81,$17.78,-1.22%
Gatos Silver,GATO,Basic Materials,10/28/2020,21.4,$7.00,$6.60,$9.98,42.57%
"MediaAlpha, Inc.",MAX,Financials,10/28/2020,9.3,$19.00,$31.86,$32.96,73.47%
"ROOT, INC.",ROOT,Financials,10/28/2020,26.8,$27.00,$27.00,$9.90,-63.33%
Foghorn Therapeutics Inc.,FHTX,Health Care,10/23/2020,7.5,$16.00,$18.12,$11.98,-25.13%
Abcam plc,ABCM,Health Care,10/22/2020,9,$17.50,$19.75,$20.32,16.11%
BCLS Acquisition Corp.,BLSA,Blank Check,10/22/2020,12.5,$10.00,$10.18,$10.32,3.20%
Guild Holdings Company,GHLD,Financials,10/22/2020,6.5,$15.00,$15.00,$13.60,-9.33%
McAfee Corp.,MCFE,Technology,10/22/2020,37,$20.00,$18.70,$24.67,23.35%
Datto Holding Corp.,MSP,Technology,10/21/2020,22,$27.00,$27.10,$23.83,-11.74%
MingZhu Logistics Holdings,YGMZ,Consumer Services,10/21/2020,3,$4.00,$4.25,$4.08,2.00%
HELIX ACQUISITION CORP.,HLXA,Blank Check,10/20/2020,10,$10.00,$10.49,$10.06,0.60%
"Aligos Therapeutics, Inc.",ALGS,Health Care,10/16/2020,10,$15.00,$14.85,$23.23,54.87%
"Eargo, Inc.",EAR,Health Care,10/16/2020,7.9,$18.00,$33.68,$48.04,166.89%
Kiromic Biopharma,KRBP,Health Care,10/16/2020,1.3,$12.00,$11.50,$8.70,-27.50%
"PRAXIS PRECISION MEDICINES, INC.",PRAX,Health Care,10/16/2020,10,$19.00,$27.80,$29.55,55.53%
"TARSUS PHARMACEUTICALS, INC.",TARS,Health Care,10/16/2020,5.5,$16.00,$20.58,$29.45,84.06%
"ARRAY TECHNOLOGIES, INC.",ARRY,Industrials,10/15/2020,47.5,$22.00,$36.45,$26.23,19.23%
MINISO Group Holding Limited,MNSO,Consumer Goods,10/15/2020,30.4,$20.00,$20.88,$23.98,19.90%
"Codiak BioSciences, Inc.",CDAK,Health Care,10/14/2020,5.5,$15.00,$12.12,$11.72,-21.87%
iHuman Inc.,IH,Consumer Services,10/9/2020,7,$12.00,$16.00,$12.16,1.33%
"Kronos Bio, Inc.",KRON,Health Care,10/9/2020,13.2,$19.00,$27.07,$20.08,5.68%
"Spruce Biosciences, Inc.",SPRB,Health Care,10/9/2020,6,$15.00,$17.00,$15.87,5.80%
