Company,Symbol,Industry,Offer Date,Shares (millions),Offer Price,1st Day Close,Current Price,Return
"IMMIX BIOPHARMA, INC.",IMMX,Health Care,12/16/2021,4.2,$5.00,$3.67,$1.44,-71.20%
Genenta Science S.p.A.,GNTA,Health Care,12/15/2021,2.4,$11.50,$11.00,$6.23,-45.83%
"Samsara, Inc.",IOT,Technology,12/15/2021,35,$23.00,$24.70,$13.14,-42.87%
"Fresh Vine Wine, Inc.",VINE,Consumer Goods,12/14/2021,2.2,$10.00,$7.05,$3.26,-67.40%
Sidus Space Inc.,SIDU,Technology,12/14/2021,3,$5.00,$12.19,$2.81,-43.80%
"HashiCorp, Inc.",HCP,Technology,12/9/2021,15.3,$80.00,$85.19,$45.14,-43.58%
Nu Holdings Ltd.,NU,Financials,12/9/2021,289.2,$9.00,$10.33,$6.68,-25.78%
"Chicago Atlantic Real Estate Finance, Inc.",REFI,Financials,12/8/2021,6.3,$16.00,$16.49,$17.83,11.44%
BIOPLUS ACQUISITION CORP.,BIOSU,Blank Check,12/3/2021,20,$10.00,$0.00,$10.06,0.60%
Crescera Capital Acquisition Corp.,CRECU,Blank Check,11/19/2021,17.5,$10.00,$10.03,$10.08,0.80%
FinWise Bancorp,FINW,Financials,11/19/2021,3.5,$10.50,$12.73,$17.25,64.29%
